Local time,Open_eurusd,High_eurusd,Low_eurusd,Close_eurusd,Volume_eurusd,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
01.01.2012 00:00:00.000 GMT+0200,1.29578,1.29578,1.29484,1.29484,0,2.7,2.3,4.18,1.82,0.04,1277.06,6075.52002
02.01.2012 00:00:00.000 GMT+0200,1.29368,1.29639,1.29173,1.29335,60531689758,2.7,2.3,4.18,1.82,0.04,1277.06,6075.52002
03.01.2012 00:00:00.000 GMT+0200,1.29335,1.30758,1.2931,1.30491,2.58E+11,2.7,2.3,4.18,1.82,0.07,1277.06,6166.569824
04.01.2012 00:00:00.000 GMT+0200,1.30491,1.30726,1.28994,1.29425,2.71E+11,2.7,2.3,4.18,1.82,0.07,1277.3,6111.549805
05.01.2012 00:00:00.000 GMT+0200,1.29423,1.29448,1.27723,1.27879,3.10E+11,2.7,2.3,4.18,1.82,0.07,1281.06,6095.990234
06.01.2012 00:00:00.000 GMT+0200,1.27879,1.28121,1.26978,1.27186,2.73E+11,2.7,2.3,4.18,1.82,0.07,1277.81,6057.919922
07.01.2012 00:00:00.000 GMT+0200,1.27186,1.27186,1.27186,1.27186,0,2.7,2.3,4.18,1.82,0.07,1277.81,6057.919922
08.01.2012 00:00:00.000 GMT+0200,1.27186,1.27186,1.27186,1.27186,0,2.7,2.3,4.18,1.82,0.07,1277.81,6057.919922
09.01.2012 00:00:00.000 GMT+0200,1.26911,1.2785,1.26666,1.27647,2.80E+11,2.7,2.3,4.18,1.82,0.08,1280.7,6017.22998
10.01.2012 00:00:00.000 GMT+0200,1.27647,1.28172,1.27427,1.27771,2.92E+11,2.7,2.3,4.18,1.82,0.08,1292.08,6162.97998
11.01.2012 00:00:00.000 GMT+0200,1.27769,1.27893,1.26654,1.27062,3.01E+11,2.7,2.3,4.18,1.82,0.08,1292.48,6152.339844
12.01.2012 00:00:00.000 GMT+0200,1.27062,1.28442,1.26992,1.28144,3.41E+11,2.7,2.3,4.18,1.82,0.08,1295.5,6179.209961
13.01.2012 00:00:00.000 GMT+0200,1.28144,1.28778,1.26287,1.26772,3.22E+11,2.7,2.3,4.18,1.82,0.09,1289.09,6143.080078
14.01.2012 00:00:00.000 GMT+0200,1.26772,1.26772,1.26772,1.26772,0,2.7,2.3,4.18,1.82,0.09,1289.09,6143.080078
15.01.2012 00:00:00.000 GMT+0200,1.26772,1.26772,1.26772,1.26772,0,2.7,2.3,4.18,1.82,0.09,1289.09,6143.080078
16.01.2012 00:00:00.000 GMT+0200,1.26311,1.26873,1.26262,1.26664,2.30E+11,2.7,2.3,4.18,1.82,0.09,1289.09,6220.009766
17.01.2012 00:00:00.000 GMT+0200,1.26664,1.28042,1.26482,1.2736,2.86E+11,2.7,2.3,4.18,1.82,0.09,1293.67,6332.930176
18.01.2012 00:00:00.000 GMT+0200,1.27361,1.28676,1.27336,1.28627,2.92E+11,2.7,2.3,4.18,1.82,0.09,1308.04,6354.569824
19.01.2012 00:00:00.000 GMT+0200,1.28634,1.29708,1.28388,1.29681,2.78E+11,2.7,2.3,4.18,1.82,0.1,1314.5,6416.259766
20.01.2012 00:00:00.000 GMT+0200,1.29675,1.29855,1.28894,1.29308,2.41E+11,2.7,2.3,4.18,1.82,0.09,1315.38,6404.390137
21.01.2012 00:00:00.000 GMT+0200,1.29308,1.29308,1.29308,1.29308,0,2.7,2.3,4.18,1.82,0.09,1315.38,6404.390137
22.01.2012 00:00:00.000 GMT+0200,1.29308,1.29308,1.29308,1.29308,0,2.7,2.3,4.18,1.82,0.09,1315.38,6404.390137
23.01.2012 00:00:00.000 GMT+0200,1.28761,1.30523,1.28758,1.30122,2.21E+11,2.7,2.3,4.18,1.82,0.09,1316,6436.620117
24.01.2012 00:00:00.000 GMT+0200,1.30132,1.30592,1.2953,1.30353,2.41E+11,2.7,2.3,4.18,1.82,0.09,1314.65,6419.220215
25.01.2012 00:00:00.000 GMT+0200,1.30355,1.31202,1.29307,1.31057,2.58E+11,2.7,2.3,4.18,1.82,0.08,1326.05,6421.850098
26.01.2012 00:00:00.000 GMT+0200,1.31059,1.31795,1.309,1.3108,2.64E+11,2.7,2.3,4.18,1.82,0.08,1318.43,6539.850098
27.01.2012 00:00:00.000 GMT+0200,1.31079,1.32304,1.30774,1.32158,2.69E+11,2.7,2.3,4.18,1.82,0.09,1316.33,6511.97998
